GIS 
Multiplex ID,GIS 
Library ID,Sample Name
MUX8046,AFI1653,EA_MS_Le_01
MUX8046,AFI1654,EA_MS_Le_02
MUX8046,AFI1655,EA_MS_Le_03
MUX8046,AFI1656,EA_MS_Le_04
MUX8046,AFI1657,EA_MS_Le_05
MUX8046,AFI1658,EA_MS_Le_06
MUX8046,AFI1659,EA_MS_Le_07
MUX8046,AFI1660,EA_MS_Le_08
MUX8046,AFI1661,EA_MS_Le_09
MUX8046,AFI1662,EA_MS_Le_10
MUX8046,AFI1663,EA_MS_Rh_01
MUX8046,AFI1664,EA_MS_Rh_02
MUX8046,AFI1665,EA_MS_Rh_03
MUX8046,AFI1666,EA_MS_Rh_04
MUX8046,AFI1667,EA_MS_Rh_05
MUX8046,AFI1668,EA_MS_Rh_06
MUX8046,AFI1669,EA_MS_Rh_07
MUX8046,AFI1670,EA_MS_Rh_08
MUX8046,AFI1671,EA_MS_Rh_09
MUX8046,AFI1672,EA_MS_Rh_10
MUX8046,AFI1673,EA_MS_Ro_01
MUX8046,AFI1674,EA_MS_Ro_02
MUX8046,AFI1675,EA_MS_Ro_03
MUX8046,AFI1676,EA_MS_Ro_04
MUX8046,AFI1677,EA_MS_Ro_05
MUX8046,AFI1678,EA_MS_Ro_06
MUX8046,AFI1679,EA_MS_Ro_07
MUX8046,AFI1680,EA_MS_Ro_08
MUX8046,AFI1681,EA_BLANK_05
MUX8046,AFI1682,EA_MS_Ro_09
MUX8046,AFI1683,EA_MS_Ro_10
MUX8046,AFI1684,EA_MS_Soil_01
MUX8046,AFI1685,EA_MS_Soil_02
MUX8046,AFI1686,EA_MS_Soil_03
MUX8046,AFI1687,EA_MS_Soil_04
MUX8046,AFI1688,EA_MS_Soil_05
MUX8046,AFI1689,EA_MS_Soil_06
MUX8046,AFI1690,EA_MS_Soil_07
MUX8046,AFI1691,EA_MS_Soil_08
MUX8046,AFI1692,EA_MS_Soil_09
MUX8046,AFI1693,EA_MS_Soil_10
MUX8046,AFI1694,EA_Sem_Le_01
MUX8046,AFI1695,EA_Sem_Le_02
MUX8046,AFI1696,EA_Sem_Le_03
MUX8046,AFI1697,EA_Sem_Le_04
MUX8046,AFI1698,EA_Sem_Le_05
MUX8046,AFI1699,EA_Sem_Le_06
MUX8046,AFI1700,EA_Sem_Le_07
MUX8046,AFI1701,EA_Sem_Le_08
MUX8046,AFI1702,EA_Sem_Le_09
MUX8046,AFI1703,EA_Sem_Le_10
MUX8046,AFI1704,EA_Sem_Rh_01
MUX8046,AFI1705,EA_Sem_Rh_02
MUX8046,AFI1706,EA_Sem_Rh_03
MUX8046,AFI1707,EA_Sem_Rh_04
MUX8046,AFI1708,EA_Sem_Rh_05
MUX8046,AFI1709,EA_Sem_Rh_06
MUX8046,AFI1710,EA_Sem_Rh_07
MUX8046,AFI1711,EA_Sem_Rh_08
MUX8046,AFI1712,EA_Sem_Rh_09
MUX8046,AFI1713,EA_BLANK_06
MUX8046,AFI1714,EA_Sem_Rh_10
MUX8046,AFI1715,EA_Sem_Ro_01
MUX8046,AFI1716,EA_Sem_Ro_02
MUX8046,AFI1717,EA_Sem_Ro_03
MUX8046,AFI1718,EA_Sem_Ro_04
MUX8046,AFI1719,EA_Sem_Ro_05
MUX8046,AFI1720,EA_Sem_Ro_06
MUX8046,AFI1721,EA_Sem_Ro_07
MUX8046,AFI1722,EA_Sem_Ro_08
MUX8046,AFI1723,EA_Sem_Ro_09
MUX8046,AFI1724,EA_Sem_Ro_10
MUX8046,AFI1725,EA_Sem_Soil_01
MUX8046,AFI1726,EA_Sem_Soil_02
MUX8046,AFI1727,EA_Sem_Soil_03
MUX8046,AFI1728,EA_Sem_Soil_04
MUX8046,AFI1729,EA_Sem_Soil_05
MUX8046,AFI1730,EA_Sem_Soil_06
MUX8046,AFI1731,EA_Sem_Soil_07
MUX8046,AFI1732,EA_Sem_Soil_08
MUX8046,AFI1733,EA_Sem_Soil_09
MUX8046,AFI1734,EA_Sem_Soil_10
MUX8046,AFI1735,EA_Per_Le_01
MUX8046,AFI1736,EA_Per_Le_02
MUX8046,AFI1737,EA_Per_Le_03
MUX8046,AFI1738,EA_Per_Le_04
MUX8046,AFI1739,EA_Per_Le_05
MUX8046,AFI1740,EA_Per_Le_06
MUX8046,AFI1741,EA_Per_Le_07
MUX8046,AFI1742,EA_Per_Le_08
MUX8046,AFI1743,EA_Per_Le_09
MUX8046,AFI1744,EA_Per_Le_10
MUX8046,AFI1745,EA_BLANK_07
MUX8046,AFI1746,EA_Per_Rh_01
MUX8046,AFI1747,EA_Per_Rh_02
MUX8046,AFI1748,EA_Per_Rh_03
MUX8046,AFI1749,EA_Per_Rh_04
MUX8046,AFI1750,EA_Per_Rh_05
MUX8046,AFI1751,EA_Per_Rh_06
MUX8046,AFI1752,EA_Per_Rh_07
MUX8046,AFI1753,EA_Per_Rh_08
MUX8046,AFI1754,EA_Per_Rh_09
MUX8046,AFI1755,EA_Per_Rh_10
MUX8046,AFI1756,EA_Per_Ro_01
MUX8046,AFI1757,EA_Per_Ro_02
MUX8046,AFI1758,EA_Per_Ro_03
MUX8046,AFI1759,EA_Per_Ro_04
MUX8046,AFI1760,EA_Per_Ro_05
MUX8046,AFI1761,EA_Per_Ro_06
MUX8046,AFI1762,EA_Per_Ro_07
MUX8046,AFI1763,EA_Per_Ro_08
MUX8046,AFI1764,EA_Per_Ro_09
MUX8046,AFI1765,EA_Per_Ro_10
MUX8046,AFI1766,EA_Per_Soil_01
MUX8046,AFI1767,EA_Per_Soil_02
MUX8046,AFI1768,EA_Per_Soil_03
MUX8046,AFI1769,EA_Per_Soil_04
MUX8046,AFI1770,EA_Per_Soil_05
MUX8046,AFI1771,EA_Per_Soil_06
MUX8046,AFI1772,EA_Per_Soil_07
MUX8046,AFI1773,EA_Per_Soil_08
MUX8046,AFI1774,EA_Per_Soil_09
MUX8046,AFI1775,EA_Per_Soil_10
MUX8046,AFI1776,Pa_KU_01
MUX8046,AFI1777,Pa_KU_02
MUX8046,AFI1778,Pa_KU_03
MUX8046,AFI1779,Pa_KU_04
MUX8046,AFI1780,Pa_KU_05
MUX8046,AFI1781,Pa_KU_06
MUX8046,AFI1782,Pa_KU_07
MUX8046,AFI1783,Pa_KU_08
MUX8046,AFI1784,SS_Po_01A
MUX8046,AFI1785,SS_Po_02A
MUX8046,AFI1786,SS_Po_03A
MUX8046,AFI1787,SS_Po_04A
MUX8046,AFI1788,SS_Po_05A
MUX8046,AFI1789,SS_Po_06A
MUX8046,AFI1790,SS_Po_07A
MUX8046,AFI1791,SS_Po_08A
